ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
beef shank,169441,"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, raw",43.5,4.94,6.4,13.0,0.0,2.74,0.0,0.0,0,0.0,1.54,12.89,0,0.0,0,8.33,16.92,35.88,27.65,0,0,0,7.0,16.32,0,3.33,63.09,0,7.89,0.61,0,0,0,8.23,0.0
beef tenderloin,2727573,"Beef, tenderloin steak, raw",42.19,8.28,0.0,21.47,0.07,1.95,0.0,0.0,0,0.0,0.31,14.06,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,15.18,0,5.23,29.32,0,11.62,0.21,0,0,0,7.33,0.0
beer,168749,"Alcoholic beverage, beer, light",0.48,0.0,0.0,0.0,0.6,0.17,0.0,0.0,0,0.0,0.31,0.17,0,0.0,0,0.42,1.15,2.44,2.0,0,0,0,0.6,0.96,0,1.19,0.09,0,0.67,0.26,0,0,0,0.45,1.6
beet,169145,"Beets, raw",3.22,0.22,0.14,0.0,3.48,3.39,10.0,0.0,0,5.44,1.23,4.44,0,0.27,0,2.58,3.08,2.09,3.94,0,0,0,3.1,3.2,0,5.48,3.18,0,8.33,14.3,0,0,0,6.91,1.09
bell pepper,2258590,"Peppers, bell, red, raw",1.79,0.16,0.0,0.0,2.42,0.0,4.14,0.0,0,157.44,0.49,1.96,0,0.0,0,4.58,10.94,6.4,17.81,0,0,0,0.0,2.13,0,2.61,1.84,0,4.43,5.77,0,0,0,4.53,0.0
biscuit,2707801,"Biscuit, NFS",14.16,24.23,59.0,0.67,15.56,42.57,8.93,0.0,0,0.0,5.38,15.33,0,3.13,0,36.75,23.31,23.19,3.47,0,0,0,0.0,37.92,0,3.57,4.55,0,9.0,0.0,0,0,0,2.79,0.15
bitters,168393,"Balsam-pear (bitter gourd), pods, raw",2.0,0.22,0.0,0.0,1.35,0.22,10.0,0.0,0,93.33,1.46,2.39,0,0.0,0,3.33,3.08,2.5,2.53,0,0,0,4.24,2.48,0,4.05,7.27,0,3.78,3.87,0,0,0,6.3,0.0
blackberry,2727581,"Blackberries, raw",3.05,0.0,0.0,0.0,0.0,0.07,18.93,0.0,0,17.11,1.19,1.16,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.61,0,4.9,1.72,0,16.14,38.46,0,0,0,3.56,0.0
blue cheese,172175,"Cheese, blue",42.8,36.85,93.34,25.0,0.85,49.83,0.0,0.0,0,0.0,40.62,1.72,0,1.67,0,2.42,29.38,6.35,9.76,0,0,0,34.58,30.96,0,5.48,24.18,0,4.44,0.39,0,0,0,5.45,2.8
blueberry,2346411,"Blueberries, raw",1.41,0.39,0.0,0.0,5.3,0.0,0.0,0.0,0,8.95,0.9,1.89,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.04,0,1.47,0.78,0,5.12,18.38,0,0,0,1.82,0.0
bok choy,2685572,"Cabbage, bok choy, raw",2.05,0.3,0.0,0.0,1.28,0.62,4.5,0.0,0,33.67,4.76,2.44,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,2.44,0,3.25,2.49,0,3.06,8.53,0,0,0,4.85,0.0
bourbon,2710700,Whiskey,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.0,0,0,0,0.04,0.0
bran,2710839,"Sorghum bran, white, unenriched, dry, raw",22.34,11.87,0.0,0.0,24.98,0.13,124.82,0.0,0,0.0,4.74,78.94,0,0.0,0,46.36,0.0,154.06,24.02,0,0,0,0.0,41.37,0,65.12,40.0,0,93.42,165.48,0,0,0,18.12,0.0
brandy,2710699,Brandy,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.0,0,0,0,0.04,0.0
bread,2707598,"Bread, white",18.86,4.6,4.1,0.0,17.89,19.57,8.21,0.0,0,0.0,16.23,18.67,0,1.47,0,42.25,18.46,29.75,5.41,0,0,0,0.0,9.04,0,6.43,8.0,0,13.78,0.0,0,0,0,2.49,2.65
breadcrumbs,2290286,"BREADCRUMBS, ORIGINAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
brie,172177,"Cheese, brie",41.5,35.49,87.05,33.33,0.16,27.35,0.0,0.0,0,0.0,14.15,2.78,0,1.6,0,5.83,40.0,2.38,13.82,0,0,0,13.8,15.04,0,4.76,21.64,0,2.11,1.48,0,0,0,3.23,2.8
