ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
cognac,2710699,Brandy,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.0,0,0,0,0.04,0.0
collard greens,2709576,"Collards, raw",6.04,0.78,0.27,0.0,1.97,0.74,14.29,0.0,0,39.22,17.85,2.61,0,15.07,0,4.5,10.0,4.64,9.71,0,0,0,0.0,2.0,0,6.43,1.91,0,5.11,0.0,0,0,0,4.53,4.22
cookie,2707899,"Cookie, NFS",10.2,31.67,40.45,0.0,23.78,13.52,7.14,0.0,0,0.0,1.62,31.0,0,13.4,0,24.33,22.85,16.62,3.41,0,0,0,0.0,8.72,0,9.76,6.55,0,35.89,0.0,0,0,0,3.64,1.91
coriander,170922,"Spices, coriander seed",24.74,22.78,4.95,0.0,20.0,1.52,149.64,0.0,0,23.33,54.54,90.67,0,0.0,0,19.92,22.31,13.31,0.0,0,0,0,0.0,32.72,0,78.57,42.73,0,108.33,82.61,0,0,0,26.96,0.0
corn,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",5.58,2.08,0.0,0.0,5.34,0.0,8.67,0.0,0,0.0,0.05,2.15,0,0.0,0,6.56,10.58,9.96,8.83,0,0,0,0.0,6.04,0,6.13,5.06,0,6.26,8.25,0,0,0,5.04,0.0
cornmeal,168922,"Cornmeal, degermed, enriched, white",14.22,2.24,1.1,0.0,28.89,0.3,13.93,0.0,0,0.0,0.23,24.22,0,0.8,0,45.92,29.38,31.05,10.71,0,0,0,4.8,7.92,0,7.62,6.0,0,8.44,7.57,0,0,0,3.02,1.56
cottage cheese,169078,"Cheese, cottage, with vegetables",21.8,5.38,13.23,4.67,1.09,17.52,0.36,0.0,0,4.44,4.31,0.56,0,0.33,0,0.83,10.0,0.62,2.94,0,0,0,0.0,10.24,0,0.95,2.64,0,3.11,0.0,0,0,0,1.83,3.18
couscous,169699,"Couscous, dry",25.52,0.82,0.58,0.0,28.16,0.43,17.86,0.0,0,0.0,1.85,6.0,0,0.0,0,13.58,6.0,21.81,6.47,0,0,0,24.86,13.6,0,10.48,7.55,0,27.44,33.91,0,0,0,3.53,0.0
crab,174204,"Crustaceans, crab, blue, raw",36.12,1.38,1.11,26.0,0.01,12.74,0.0,0.0,0,3.33,6.85,4.11,0,0.0,0,6.67,3.08,16.88,8.82,0,0,0,7.0,18.32,0,8.1,32.18,0,74.33,6.52,0,0,0,7.0,0.0
cranberry,171722,"Cranberries, raw",0.92,0.17,0.04,0.0,4.35,0.09,12.86,0.0,0,15.56,0.62,1.28,0,8.8,0,1.0,1.54,0.63,3.35,0,0,0,5.9,0.88,0,1.43,0.82,0,6.22,11.61,0,0,0,1.7,1.0
cranberry sauce,173961,"Cranberry sauce, canned, sweetened",1.8,0.19,0.03,0.0,14.69,0.22,3.93,0.0,0,1.11,0.23,2.28,0,6.2,0,1.25,1.62,0.62,0.82,0,0,0,0.0,0.32,0,0.48,0.27,0,2.89,3.17,0,0,0,0.6,0.69
cream cheese,173418,"Cheese, cream",12.3,44.15,101.06,33.67,2.01,13.65,0.0,0.0,0,0.0,7.46,0.61,0,5.73,0,1.92,17.69,0.57,3.29,0,0,0,10.34,8.56,0,2.14,4.55,0,2.0,0.48,0,0,0,2.81,4.87
créme de cacao,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
cucumber,169225,"Cucumber, peeled, raw",1.18,0.21,0.39,0.0,0.79,0.09,2.5,0.0,0,3.56,1.08,1.22,0,0.2,0,2.58,1.92,0.23,3.0,0,0,0,4.8,1.68,0,2.86,1.55,0,7.89,3.17,0,0,0,2.89,1.04
cumin,170923,"Spices, cumin seed",35.62,28.55,7.67,0.0,16.09,7.3,37.5,0.0,0,8.56,71.62,368.67,0,22.2,0,52.33,25.15,28.62,25.59,0,0,0,0.0,39.92,0,87.14,43.64,0,96.33,144.91,0,0,0,38.04,4.49
currant,173963,"Currants, european black, raw",2.8,0.53,0.17,0.0,5.59,0.09,0.0,0.0,0,201.11,4.23,8.56,0,6.67,0,4.17,3.85,1.88,3.88,0,0,0,7.96,4.72,0,5.71,2.45,0,9.56,11.13,0,0,0,6.85,0.0
curry,170924,"Spices, curry powder",28.58,17.96,8.24,0.0,20.3,2.26,190.0,0.0,0,0.78,40.38,106.11,0,168.27,0,14.67,15.38,20.38,6.18,0,0,0,21.4,29.36,0,60.71,42.73,0,133.33,360.87,0,0,0,24.89,11.67
custard,168772,"Egg custards, dry mix",13.8,8.21,10.15,86.0,30.11,12.22,0.0,0.0,0,0.44,17.54,10.72,0,0.0,0,12.08,31.69,2.0,12.71,0,0,0,44.76,26.56,0,10.71,9.55,0,5.11,0.87,0,0,0,11.49,0.0
date,2709203,Date,4.9,0.5,0.16,0.0,27.27,0.09,28.57,0.0,0,0.44,3.0,5.67,0,0.33,0,4.33,5.08,7.94,9.71,0,0,0,0.0,4.96,0,10.24,2.64,0,22.89,0.0,0,0,0,13.96,1.15
dill,172233,"Dill weed, fresh",6.92,1.44,0.3,0.0,2.55,2.65,7.5,0.0,0,94.44,16.0,36.61,0,0.0,0,4.83,22.77,9.81,10.88,0,0,0,7.94,5.28,0,13.1,8.27,0,16.22,54.96,0,0,0,15.7,0.0
dried fruit,2709195,"Dried, fruit, NFS",4.56,0.79,0.52,0.0,28.58,1.39,17.14,0.0,0,6.11,3.0,7.22,0,10.13,0,5.42,6.69,6.31,8.59,0,0,0,0.0,5.12,0,5.71,2.55,0,24.33,0.0,0,0,0,11.3,2.15
duck,172410,"Duck, domesticated, meat only, raw",36.56,7.63,11.6,25.67,0.34,3.22,0.0,0.0,0,6.44,0.85,13.33,0,4.67,0,30.0,34.62,33.12,20.0,0,0,0,32.0,16.24,0,4.52,17.27,0,28.11,0.83,0,0,0,5.77,9.75
eau de vie,174818,"Alcoholic beverage, distilled, vodka, 80 proof",0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.06,0,0.0,0,0.42,0.54,0.0,0.0,0,0,0,0.0,0.4,0,0.0,0.0,0,1.11,0.0,0,0,0,0.02,0.0
egg,171287,"Egg, whole, raw, fresh",25.12,12.19,15.63,124.0,0.26,6.17,0.0,0.0,0,0.0,4.31,9.72,0,7.0,0,3.33,35.15,0.47,10.0,0,0,0,30.66,15.84,0,2.86,11.73,0,8.0,1.22,0,0,0,2.94,53.42
eggplant,169228,"Eggplant, raw",1.96,0.23,0.17,0.0,2.14,0.09,10.71,0.0,0,2.44,0.69,1.28,0,2.0,0,3.25,2.85,4.06,4.94,0,0,0,5.62,1.92,0,3.33,1.45,0,9.0,10.09,0,0,0,4.87,1.25
endive,168412,"Endive, raw",2.5,0.26,0.24,0.0,1.22,0.96,11.07,0.0,0,7.22,4.0,4.61,0,2.93,0,6.67,5.77,2.5,1.18,0,0,0,18.0,2.24,0,3.57,7.18,0,11.0,18.26,0,0,0,6.68,3.05
escarole,168413,"Escarole, cooked, boiled, drained, no salt added",2.3,0.23,0.21,0.0,1.12,0.83,10.0,0.0,0,3.67,3.54,4.0,0,2.67,0,4.92,4.77,1.95,0.94,0,0,0,16.52,1.76,0,3.1,6.27,0,9.67,16.74,0,0,0,5.21,2.8
fennel,169385,"Fennel, bulb, raw",2.48,0.26,0.45,0.0,2.65,2.26,11.07,0.0,0,13.33,3.77,4.06,0,3.87,0,0.83,2.46,4.0,2.76,0,0,0,4.64,4.0,0,4.05,1.82,0,7.33,8.3,0,0,0,8.81,2.4
feta,173420,"Cheese, feta",28.42,27.55,66.5,29.67,1.41,49.52,0.0,0.0,0,0.0,37.92,3.61,0,1.2,0,12.83,64.92,6.19,24.94,0,0,0,19.34,26.96,0,4.52,26.18,0,3.56,1.22,0,0,0,1.32,2.8
fig,173021,"Figs, raw",1.5,0.38,0.3,0.0,6.97,0.04,10.36,0.0,0,2.22,2.69,2.06,0,0.73,0,5.0,3.85,2.5,6.65,0,0,0,6.0,1.12,0,4.05,1.36,0,7.78,5.57,0,0,0,4.94,0.85
fish,2706224,"Fish, NFS",38.6,18.59,14.2,18.67,2.41,15.22,1.07,0.0,0,1.0,1.31,4.78,0,19.2,0,13.08,10.23,34.62,19.12,0,0,0,0.0,18.32,0,6.43,4.18,0,7.0,0.0,0,0,0,7.0,12.62
flat bread,1898944,GREEK FLAT BREAD,18.82,6.04,0.0,0.0,17.97,20.96,12.5,0.0,0,0.0,1.85,17.67,0,0.0,0,0.0,23.08,22.06,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
fontina,170843,"Cheese, fontina",51.2,39.92,95.98,38.67,0.56,34.78,0.0,0.0,0,0.0,42.31,1.28,0,1.8,0,1.75,15.69,0.94,4.88,0,0,0,8.58,27.68,0,3.33,31.82,0,2.78,0.61,0,0,0,1.36,2.8
fortified wine,2710692,"Wine, dessert, sweet",0.4,0.0,0.0,0.0,4.98,0.39,0.0,0.0,0,0.0,0.62,1.33,0,0.0,0,1.5,1.38,1.33,0.0,0,0,0,0.0,0.72,0,2.14,0.64,0,5.0,0.0,0,0,0,1.96,0.91
frangelico,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
garlic,169230,"Garlic, raw",12.72,0.64,0.45,0.0,12.02,0.74,7.5,0.0,0,34.67,13.92,9.44,0,0.53,0,16.67,8.46,4.38,72.65,0,0,0,11.92,12.24,0,5.95,10.55,0,33.22,72.7,0,0,0,8.53,4.22
gin,173664,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.78,0,0,0,0.04,0.0
ginger,169231,"Ginger root, raw",3.64,0.96,1.02,0.0,6.46,0.57,7.14,0.0,0,5.56,1.23,3.33,0,1.73,0,2.08,2.62,4.69,9.41,0,0,0,4.06,2.72,0,10.24,3.09,0,25.11,9.96,0,0,0,8.83,5.24
goat cheese,172197,"Cheese, goat, hard type",61.04,45.63,123.05,35.0,0.79,18.39,0.0,0.0,0,0.0,68.85,10.44,0,2.07,0,11.67,91.54,15.0,4.71,0,0,0,8.2,58.32,0,12.86,14.45,0,69.67,10.96,0,0,0,1.02,2.8
goose,172413,"Goose, domesticated, meat only, raw",45.5,9.14,13.95,28.0,0.0,3.78,0.0,0.0,0,8.0,1.0,14.28,0,0.0,0,10.75,29.0,26.74,37.65,0,0,0,39.46,24.96,0,5.71,21.27,0,34.0,1.04,0,0,0,8.94,0.0
gouda,171241,"Cheese, gouda",49.88,35.18,88.07,38.0,0.81,35.61,0.0,0.0,0,0.0,53.85,1.33,0,1.6,0,2.5,25.69,0.39,4.71,0,0,0,6.8,43.68,0,6.9,35.45,0,4.0,0.48,0,0,0,2.57,2.8
grand marnier,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
granola,2708461,"Cereal, granola",19.64,16.67,6.7,0.0,24.51,7.0,26.43,0.0,0,0.11,3.92,17.06,0,16.87,0,25.83,13.15,5.98,4.76,0,0,0,0.0,23.76,0,25.24,23.36,0,36.22,0.0,0,0,0,6.6,5.38
grape,2709237,"Grapes, raw",1.8,0.26,0.27,0.0,7.05,0.22,3.21,0.0,0,3.56,0.77,1.0,0,1.27,0,5.75,5.38,1.18,5.06,0,0,0,0.0,1.92,0,1.9,0.36,0,7.89,0.0,0,0,0,4.77,1.02
grapefruit,2709165,"Grapefruit, raw",1.54,0.18,0.11,0.0,3.89,0.0,5.71,0.0,0,34.67,1.69,0.44,0,0.87,0,3.58,2.38,1.27,3.12,0,0,0,0.0,1.44,0,2.14,0.64,0,3.56,0.0,0,0,0,2.87,1.4
grappa,2710699,Brandy,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.5,0.31,0.08,0.06,0,0,0,0.0,0.32,0,0.0,0.36,0,2.33,0.0,0,0,0,0.04,0.0
green bean,2709769,"Green beans, raw",3.94,0.36,0.25,0.0,2.69,0.0,10.71,0.0,0,13.56,3.08,3.61,0,2.73,0,5.0,8.0,4.57,7.12,0,0,0,0.0,3.28,0,6.67,3.18,0,10.89,0.0,0,0,0,6.17,2.78
ground beef,2705854,"Beef, ground",51.2,21.54,32.3,29.0,0.0,16.57,0.0,0.0,0,0.0,1.85,13.72,0,0.8,0,3.92,13.46,31.69,21.41,0,0,0,0.0,15.36,0,4.76,56.36,0,8.89,0.0,0,0,0,6.43,14.6
ground lamb,2705907,"Lamb, ground",49.2,25.0,40.3,32.0,0.0,16.87,0.0,0.0,0,0.0,1.69,9.89,0,0.93,0,8.25,19.08,41.56,8.18,0,0,0,0.0,15.92,0,5.71,42.09,0,14.11,0.0,0,0,0,7.15,16.85
guava,2709238,"Guava, raw",5.1,1.22,1.36,0.0,5.2,0.09,19.29,0.0,0,253.33,1.38,1.44,0,4.87,0,5.58,3.08,6.75,6.47,0,0,0,0.0,3.2,0,5.24,2.09,0,25.56,0.0,0,0,0,8.87,1.38
halibut,2706260,"Fish, halibut",41.4,8.0,7.8,19.67,2.83,14.52,1.07,0.0,0,0.0,1.38,4.17,0,8.93,0,11.75,6.08,46.94,32.59,0,0,0,0.0,21.04,0,6.43,4.36,0,4.67,0.0,0,0,0,10.06,12.67
ham,2705878,Ham,38.0,4.96,6.4,18.0,0.57,50.0,0.0,0.0,0,0.0,0.62,4.67,0,1.47,0,35.5,14.69,37.88,24.18,0,0,0,0.0,22.08,0,4.76,16.73,0,13.78,0.0,0,0,0,7.89,13.75
hazelnut,2707502,Hazelnuts,30.0,77.95,22.3,0.0,6.07,0.0,34.64,0.0,0,7.0,8.77,26.11,0,100.0,0,53.58,8.69,11.25,33.12,0,0,0,0.0,23.2,0,38.81,22.27,0,191.11,0.0,0,0,0,14.47,8.29
honey,2710281,Honey,0.6,0.0,0.0,0.0,29.96,0.17,0.71,0.0,0,0.56,0.46,2.33,0,0.0,0,0.0,2.92,0.76,1.41,0,0,0,0.0,0.32,0,0.48,2.0,0,4.0,0.0,0,0,0,1.11,0.4
honeydew,2709241,"Honeydew melon, raw",1.08,0.18,0.19,0.0,3.31,0.78,2.86,0.0,0,20.0,0.46,0.94,0,0.13,0,3.17,0.92,2.61,5.18,0,0,0,0.0,0.88,0,2.38,0.82,0,2.67,0.0,0,0,0,4.85,1.38
horseradish,2710083,Horseradish,2.36,0.88,0.45,0.0,4.11,18.26,11.79,0.0,0,27.67,4.31,2.33,0,0.07,0,0.67,1.85,2.41,4.29,0,0,0,0.0,2.48,0,6.43,7.55,0,6.44,0.0,0,0,0,5.23,1.18
hot pepper,2709798,"Peppers, hot, raw",2.78,0.51,0.34,0.0,2.79,0.26,7.86,0.0,0,145.56,1.0,3.56,0,14.2,0,4.67,6.0,7.88,27.24,0,0,0,0.0,2.72,0,4.52,1.82,0,9.78,0.0,0,0,0,6.06,1.67
ice cream,2705629,"Ice cream, NFS",7.14,14.49,34.3,14.0,9.6,3.91,2.86,0.0,0,0.67,9.54,1.67,0,2.6,0,3.67,18.15,0.96,2.71,0,0,0,0.0,8.48,0,3.81,6.55,0,4.78,0.0,0,0,0,4.32,4.6
jalapeño,2710096,"Peppers, jalapenos",1.72,0.49,0.38,0.0,2.01,31.13,9.64,0.0,0,72.67,2.77,1.56,0,14.93,0,3.17,3.54,5.08,15.41,0,0,0,0.0,1.6,0,2.38,1.09,0,5.11,0.0,0,0,0,3.83,1.49
jam,2710301,Jam,0.74,0.09,0.05,0.0,25.05,1.39,3.93,0.0,0,9.78,1.54,2.72,0,0.8,0,1.33,5.85,0.22,1.18,0,0,0,0.0,1.52,0,0.95,0.55,0,11.11,0.0,0,0,0,1.64,1.85
jerusalem artichoke,169236,"Jerusalem-artichokes, raw",4.0,0.01,0.0,0.0,6.34,0.17,5.71,0.0,0,4.44,1.08,18.89,0,1.27,0,16.67,4.62,8.12,4.53,0,0,0,7.94,6.24,0,4.05,1.09,0,15.56,2.61,0,0,0,9.13,5.45
jícama,2709787,"Jicama, raw",1.44,0.12,0.11,0.0,3.21,0.17,17.5,0.0,0,22.44,0.92,3.33,0,3.07,0,1.67,2.23,1.25,2.47,0,0,0,0.0,1.44,0,2.86,1.45,0,5.33,0.0,0,0,0,3.19,2.47
kahlúa,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
kale,2709599,"Kale, raw",5.84,1.91,0.89,0.0,1.61,2.3,14.64,0.0,0,103.78,19.54,8.89,0,4.4,0,9.42,26.69,7.38,8.65,0,0,0,0.0,4.4,0,7.86,3.55,0,5.89,0.0,0,0,0,7.4,0.09
kirsch,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
kiwi,2709239,"Kiwi fruit, raw",2.12,0.56,0.15,0.0,5.09,0.22,10.71,0.0,0,83.0,2.69,1.33,0,8.67,0,2.25,1.92,2.31,3.59,0,0,0,0.0,2.72,0,3.81,1.27,0,14.89,0.0,0,0,0,4.21,1.42
kumquat,2709167,"Kumquat, raw",3.76,1.1,0.52,0.0,5.78,0.43,23.21,0.0,0,48.78,4.77,4.78,0,1.0,0,3.08,6.92,2.68,2.12,0,0,0,0.0,1.52,0,4.76,1.55,0,10.56,0.0,0,0,0,3.96,1.53
lamb,174370,"Lamb, ground, raw",33.12,30.01,50.95,24.33,0.0,2.57,0.0,0.0,0,0.0,1.23,8.61,0,1.33,0,9.17,16.15,37.25,7.65,0,0,0,13.0,12.56,0,5.0,31.0,0,11.22,0.83,0,0,0,4.72,12.6
lamb chop,2705906,"Lamb, chop",54.8,20.9,33.0,32.33,0.0,16.83,0.0,0.0,0,0.0,1.54,10.5,0,0.93,0,8.67,20.23,43.25,8.47,0,0,0,0.0,16.72,0,6.19,34.36,0,15.11,0.0,0,0,0,7.43,18.18
lamb shank,172513,"Lamb, New Zealand, imported, fore-shank, separable lean and fat, raw",40.18,14.59,23.11,22.0,0.03,3.3,0.0,0.0,0,0.0,0.54,7.11,0,1.8,0,8.33,7.38,25.59,5.53,0,0,0,8.66,12.56,0,4.52,35.27,0,8.78,0.35,0,0,0,6.09,0.0
leafy green,2706753,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",16.22,9.41,8.2,7.67,2.35,13.57,3.21,0.0,0,1.33,1.0,4.5,0,6.0,0,3.17,6.62,10.31,7.65,0,0,0,0.0,5.68,0,3.1,12.64,0,4.78,0.0,0,0,0,2.96,6.27
leek,2709935,Leeks,3.14,3.91,3.79,0.67,5.35,6.57,6.79,0.0,0,11.78,4.77,12.17,0,9.13,0,4.67,2.31,2.48,13.88,0,0,0,0.0,2.96,0,6.9,1.18,0,13.89,0.0,0,0,0,4.0,1.84
lemon,2709168,"Lemon, raw",2.2,0.38,0.19,0.0,3.39,0.09,10.0,0.0,0,58.89,2.0,3.33,0,1.0,0,3.33,1.54,0.62,4.71,0,0,0,0.0,1.28,0,1.9,0.55,0,4.11,0.0,0,0,0,2.94,0.93
lemon juice,2709182,"Lemon juice, 100%, canned or bottled",0.9,0.09,0.14,0.0,2.04,1.04,2.5,0.0,0,15.89,0.77,0.33,0,1.53,0,1.75,1.31,1.12,2.18,0,0,0,0.0,0.72,0,1.67,1.73,0,2.0,0.0,0,0,0,2.32,0.93
lemongrass,1922319,THAI LEMONGRASS LAAB,10.08,3.55,2.5,0.0,4.76,7.17,7.14,0.0,0,25.22,4.85,8.83,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
lentil,172420,"Lentils, raw",49.26,1.36,0.77,0.0,23.04,0.26,38.21,0.0,0,5.0,2.69,36.17,0,3.27,0,72.75,16.23,16.28,31.76,0,0,0,42.8,22.48,0,11.19,29.73,0,83.78,60.57,0,0,0,14.4,17.53
lettuce,169249,"Lettuce, green leaf, raw",2.72,0.19,0.1,0.0,1.04,1.22,4.64,0.0,0,10.22,2.77,4.78,0,1.47,0,5.83,6.15,2.34,5.29,0,0,0,2.68,2.32,0,3.1,1.64,0,3.22,10.87,0,0,0,4.13,2.47
lima bean,168396,"Lima beans, immature seeds, raw",13.68,1.1,0.99,0.0,7.33,0.35,17.5,0.0,0,26.0,2.62,17.44,0,2.13,0,18.08,7.92,9.21,12.0,0,0,0,4.94,10.88,0,13.81,7.09,0,35.33,52.83,0,0,0,9.94,7.27
lime,168155,"Limes, raw",1.4,0.26,0.11,0.0,3.83,0.09,10.0,0.0,0,32.33,2.54,3.33,0,1.47,0,2.5,1.54,1.25,2.53,0,0,0,4.34,1.44,0,1.43,1.0,0,7.22,0.35,0,0,0,2.17,0.93
lime juice,168156,"Lime juice, raw",0.84,0.09,0.04,0.0,3.06,0.09,1.43,0.0,0,33.33,1.08,0.5,0,1.47,0,2.08,1.15,0.89,2.24,0,0,0,2.46,1.12,0,1.9,0.73,0,3.0,0.78,0,0,0,2.49,0.93
lingonberry,2025975,LINGONBERRIES,0.0,0.0,0.0,0.0,16.36,0.0,8.93,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
liqueur,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
lobster,174208,"Crustaceans, lobster, northern, raw",33.04,0.96,0.9,42.33,0.0,18.39,0.0,0.0,0,0.0,6.46,1.44,0,5.8,0,1.67,1.08,9.94,6.12,0,0,0,28.98,12.88,0,9.05,32.09,0,149.89,2.43,0,0,0,4.26,12.78
lychee,169086,"Litchis, raw",1.66,0.56,0.5,0.0,6.01,0.04,4.64,0.0,0,79.44,0.38,1.72,0,0.47,0,0.92,5.0,3.77,5.88,0,0,0,0.0,2.48,0,2.38,0.64,0,16.44,2.39,0,0,0,3.64,1.29
macadamia nut,170178,"Nuts, macadamia nuts, raw",15.82,97.14,60.3,0.0,5.03,0.22,30.71,0.0,0,1.33,6.54,20.5,0,3.6,0,99.58,12.46,15.46,16.18,0,0,0,15.16,15.04,0,30.95,11.82,0,84.0,179.61,0,0,0,7.83,0.0
mango,169910,"Mangos, raw",1.64,0.49,0.46,0.0,5.45,0.04,5.71,0.0,0,40.44,0.85,0.89,0,6.0,0,2.33,2.92,4.18,7.0,0,0,0,3.94,1.12,0,2.38,0.82,0,12.33,2.74,0,0,0,3.57,1.38
maple syrup,169661,"Syrups, maple",0.08,0.08,0.03,0.0,24.38,0.52,0.0,0.0,0,0.0,7.85,0.61,0,0.0,0,5.5,97.69,0.51,0.12,0,0,0,0.72,0.16,0,5.0,13.36,0,2.0,126.43,0,0,0,4.51,0.29
marsala,2706416,Veal Marsala,35.6,10.95,17.95,18.33,2.45,6.39,1.79,0.0,0,1.56,1.08,5.83,0,3.87,0,8.25,20.54,33.31,23.59,0,0,0,0.0,11.36,0,5.71,10.55,0,14.22,0.0,0,0,0,4.49,15.98
marscarpone,2289625,MASCARPONE,7.14,54.95,151.8,41.67,1.3,2.35,0.0,0.0,0,0.0,11.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
marshmallow,167995,"Candies, marshmallows",3.6,0.26,0.28,0.0,29.56,3.48,0.36,0.0,0,0.0,0.23,1.28,0,0.0,0,0.08,0.08,0.49,0.18,0,0,0,0.1,0.64,0,0.48,0.36,0,10.78,0.35,0,0,0,0.11,0.02
martini,2710639,Martini,0.14,0.0,0.0,0.0,0.05,0.09,0.0,0.0,0,0.0,0.08,0.5,0,0.0,0,0.42,0.38,0.16,0.24,0,0,0,0.0,0.4,0,0.24,0.36,0,2.22,0.0,0,0,0,0.28,0.13
mayonnaise,2710204,"Mayonnaise, regular",1.92,95.9,58.5,14.0,0.21,27.61,0.0,0.0,0,0.0,0.62,1.17,0,21.87,0,0.83,1.46,0.0,0.47,0,0,0,0.0,1.68,0,0.24,1.36,0,2.11,0.0,0,0,0,0.43,6.22
melon,169093,"Melons, casaba, raw",2.22,0.13,0.12,0.0,2.39,0.39,3.21,0.0,0,24.22,0.85,1.89,0,0.33,0,1.25,2.38,1.45,9.59,0,0,0,1.68,0.4,0,2.62,0.64,0,6.67,1.52,0,0,0,3.87,1.38
mezcal,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
midori,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
milk,2705384,"Milk, NFS",6.66,2.74,6.25,3.0,1.76,1.7,0.0,0.0,0,0.11,9.62,0.0,0,0.2,0,4.75,10.54,0.69,3.59,0,0,0,0.0,8.24,0,2.86,3.91,0,0.11,0.0,0,0,0,3.32,3.25
mint,173475,"Spearmint, fresh",6.58,0.94,0.95,0.0,3.06,1.3,24.29,0.0,0,14.78,15.31,65.94,0,0.0,0,6.5,13.46,5.92,9.29,0,0,0,5.0,4.8,0,15.0,9.91,0,26.67,48.61,0,0,0,9.74,0.0
molasses,168820,Molasses,0.0,0.13,0.09,0.0,27.17,1.61,0.0,0.0,0,0.0,15.77,26.22,0,0.0,0,3.42,0.15,5.81,39.41,0,0,0,16.08,2.48,0,57.62,2.64,0,54.11,66.52,0,0,0,31.15,2.42
monterey jack,2705720,"Cheese, Monterey",45.2,41.79,96.0,33.33,0.69,28.78,0.0,0.0,0,0.0,55.0,0.0,0,1.73,0,1.25,30.0,0.58,4.65,0,0,0,0.0,37.68,0,7.14,34.36,0,0.0,0.0,0,0,0,1.77,2.8
